Band,Date,Venue
James Bay,7/31/2015,Lollapalooza 2015 D1
Mighty Oaks,7/31/2015,Lollapalooza 2015 D1
Paul McCartney,7/31/2015,Lollapalooza 2015 D1
The War on Drugs,7/31/2015,Lollapalooza 2015 D1
Carnage,8/1/2015,Lollapalooza 2015 D2
Django Django,8/1/2015,Lollapalooza 2015 D2
Hippo Campus,8/1/2015,Lollapalooza 2015 D2
Janelle Kroll,8/1/2015,Lollapalooza 2015 D2
Metallica,8/1/2015,Lollapalooza 2015 D2
Tame Impala,8/1/2015,Lollapalooza 2015 D2
The Tallest Man on Earth,8/1/2015,Lollapalooza 2015 D2
Toro Y Moi,8/1/2015,Lollapalooza 2015 D2
Wet,8/1/2015,Lollapalooza 2015 D2
FKA Twigs,8/2/2015,Lollapalooza 2015 D3
Gogol Bordello,8/2/2015,Lollapalooza 2015 D3
Skylar Spence,8/2/2015,Lollapalooza 2015 D3
Strand of Oaks,8/2/2015,Lollapalooza 2015 D3
The Wombats,8/2/2015,Lollapalooza 2015 D3
Twin Peaks,8/2/2015,Lollapalooza 2015 D3
Wild Belle,8/2/2015,Lollapalooza 2015 D3
Phish,8/8/2015,Alpine Valley Music Theatre
Umphrey's Mcgee,8/14/2015,Ravinia Festival
Galactic w/Macy Gray,9/5/2015,North Coast 2015 D2
Lili K,9/5/2015,North Coast 2015 D2
Sweater Beats,9/5/2015,North Coast 2015 D2
