Band,Date,Venue
Danny Brown,7/14/2017,Pitchfork Music Festival 2017 D1
Dirty Projectors,7/14/2017,Pitchfork Music Festival 2017 D1
LCD Soundsystem,7/14/2017,Pitchfork Music Festival 2017 D1
Arab Strap,7/15/2017,Pitchfork Music Festival 2017 D2
George Clinton,7/15/2017,Pitchfork Music Festival 2017 D2
Angel Olsen,7/15/2017,Pitchfork Music Festival 2017 D2
A Tribe Called Quest,7/15/2017,Pitchfork Music Festival 2017 D2
Ne-Hi,7/16/2017,Pitchfork Music Festival 2017 D3
Isaiah Rashad,7/16/2017,Pitchfork Music Festival 2017 D3
Hamilton Leithauser,7/16/2017,Pitchfork Music Festival 2017 D3
Nicolas Jaar,7/16/2017,Pitchfork Music Festival 2017 D3
Solange,7/16/2017,Pitchfork Music Festival 2017 D3
Deanna Devore,7/27/2017,Schubas
Yeek,7/27/2017,Schubas
Sports,7/27/2017,Schubas
CRX,8/2/2017,Metro
Spoon,8/2/2017,Metro
Hippo Campus,8/3/2017,Lollapalooza 2017 D1
Temples,8/3/2017,Lollapalooza 2017 D1
The Drums,8/3/2017,Lollapalooza 2017 D1
A-Trak,8/3/2017,Lollapalooza 2017 D1
Kaytranada,8/3/2017,Lollapalooza 2017 D1
Pup,8/4/2017,Lollapalooza 2017 D2
Cloud Nothings,8/4/2017,Lollapalooza 2017 D2
The Lemon Twigs,8/4/2017,Lollapalooza 2017 D2
Phantogram,8/4/2017,Lollapalooza 2017 D2
Run the Jewels,8/4/2017,Lollapalooza 2017 D2
Crystal Castles,8/4/2017,Lollapalooza 2017 D2
Michael Christmas,8/5/2017,Lollapalooza 2017 D3
Amine,8/5/2017,Lollapalooza 2017 D3
Alvvays,8/5/2017,Lollapalooza 2017 D3
Nghtmre,8/5/2017,Lollapalooza 2017 D3
Alison Wonderland,8/5/2017,Lollapalooza 2017 D3
21 Savage,8/5/2017,Lollapalooza 2017 D3
Chance the Rapper,8/5/2017,Lollapalooza 2017 D3
Mt. Joy,8/5/2017,Vic Theater
The Shins,8/5/2017,Vic Theater
The Walters,8/6/2017,Lollapalooza 2017 D4
Duckwrth,8/6/2017,Lollapalooza 2017 D4
Car Seat Headrest,8/6/2017,Lollapalooza 2017 D4
Tove Lo,8/6/2017,Lollapalooza 2017 D4
Big Sean,8/6/2017,Lollapalooza 2017 D4
Justice,8/6/2017,Lollapalooza 2017 D4
JC Brooks,8/13/2017,Market Days 2017
Dogs at Large,9/8/2017,Empty Bottle
Varsity,9/8/2017,Empty Bottle
Ducktails,9/8/2017,Empty Bottle
Joey Purp,9/23/2017,312 Block Party
Animal Collective,9/23/2017,312 Block Party
Beach House,9/27/2017,Red Rocks
Fleet Foxes,9/27/2017,Red Rocks
Nap Eyes,10/3/2017,Chicago Theater
Fleet Foxes,10/3/2017,Chicago Theater
Four Tet,10/5/2017,Smart Bar
The Building,10/19/2017,Aragon Ballroom
The War on Drugs,10/19/2017,Aragon Ballroom
Jen Cloher,10/27/2017,Thalia Hall
Courtney Barnett,10/27/2017,Thalia Hall
Sammy Miller and the Congregation,11/4/2017,Old Town School of Folk Music
The Milk Carton Kids,11/4/2017,Old Town School of Folk Music
Jen Lasher,11/30/2017,AWS re:invent 2017
Team EZY,11/30/2017,AWS re:invent 2017
DJ Snake,11/30/2017,AWS re:invent 2017
Joan Shelley,12/14/2017,Fourth Presbyterian Church
Andrew Bird,12/14/2017,Fourth Presbyterian Church
Wet Mouth,12/16/2017,The Hideout
Campdogzz,12/16/2017,The Hideout
Mutts,12/16/2017,The Hideout
Mega Bog,1/20/2018,Metro
Destroyer,1/20/2018,Metro
Kaelin Ellis,5/12/2018,Concord Music Hall
Marr Grey,5/12/2018,Concord Music Hall
Sango,5/12/2018,Concord Music Hall
Bunny,5/15/2018,Lincoln Hall
Goodbye Honolulu,5/15/2018,Lincoln Hall
Hinds,5/15/2018,Lincoln Hall
Gene Farris,5/19/2018,The MID
Jamie Jones,5/19/2018,The Mid
Lala Lala,5/21/2018,Chicago Cultural Center
Courtney Barnett,5/21/2018,Chicago Cultural Center
Hidden Hospitals,6/2/2018,Do Division Fest 2018
Holy Wave,6/2/2018,Do Division Fest 2018
Ganser,6/3/2018,Do Division Fest 2018
Deeper,6/3/2018,Do Division Fest 2018
Joe Marcinek Band,6/16/2018,Taste of Randolph 2018
Bonny Doon,6/16/2018,Subterranean
Snail Mail,6/16/2018,Subterranean
Joseph Chillams,6/23/2018,Mamby on the Beach 2018 D1
Cupcakke,6/23/2018,Mamby on the Beach 2018 D1
León,6/23/2018,Mamby on the Beach 2018 D1
Tune Yards,6/23/2018,Mamby on the Beach 2018 D1
